"","RecordId","DateTime","Site","ButterflyCount","Lat","Lon","WalkStage","weekdate","Weekday","Hour"
"1",1,"11/1/2017 1:42:00 PM","Argyle Square",0,-37.8023,144.9664,"1_1_1",10,"Thu",13
"2",2,"11/1/2017 1:42:00 PM","Argyle Square",0,-37.8023,144.9664,"2_1_1",10,"Thu",13
"3",3,"11/1/2017 1:42:00 PM","Argyle Square",0,-37.8023,144.9664,"3_1_1",10,"Thu",13
"4",4,"11/1/2017 1:42:00 PM","Argyle Square",0,-37.8023,144.9664,"4_1_1",10,"Thu",13
"5",5,"11/1/2017 2:28:00 PM","Argyle Square",0,-37.8023,144.9665,"1_1_1",10,"Thu",14
"6",6,"11/1/2017 2:28:00 PM","Argyle Square",0,-37.8023,144.9665,"2_1_1",10,"Thu",14
"7",7,"11/1/2017 2:28:00 PM","Argyle Square",0,-37.8023,144.9665,"3_1_1",10,"Thu",14
"8",8,"11/1/2017 2:28:00 PM","Argyle Square",0,-37.8023,144.9665,"4_1_1",10,"Thu",14
"9",9,"11/1/2017 3:22:00 PM","Argyle Square",0,-37.8022,144.9664,"1_1_1",10,"Thu",15
"10",10,"11/1/2017 3:22:00 PM","Argyle Square",1,-37.8022,144.9664,"2_1_1",10,"Thu",15
"11",11,"11/1/2017 3:22:00 PM","Argyle Square",1,-37.8022,144.9664,"3_1_1",10,"Thu",15
"12",12,"11/1/2017 3:22:00 PM","Argyle Square",0,-37.8022,144.9664,"4_1_1",10,"Thu",15
"13",13,"11/1/2017 3:34:00 PM","Argyle Square",0,-37.8023,144.9665,"1_1_1",10,"Thu",15
"14",14,"11/1/2017 3:34:00 PM","Argyle Square",0,-37.8023,144.9665,"2_1_1",10,"Thu",15
"15",15,"11/1/2017 3:34:00 PM","Argyle Square",0,-37.8023,144.9665,"3_1_1",10,"Thu",15
"16",16,"11/1/2017 3:34:00 PM","Argyle Square",0,-37.8023,144.9665,"4_1_1",10,"Thu",15
"17",17,"11/1/2017 3:49:00 PM","Argyle Square",0,-37.8023,144.9664,"1_1_1",10,"Thu",15
"18",18,"11/1/2017 3:49:00 PM","Argyle Square",0,-37.8023,144.9664,"2_1_1",10,"Thu",15
"19",19,"11/1/2017 3:49:00 PM","Argyle Square",0,-37.8023,144.9664,"3_1_1",10,"Thu",15
"20",20,"11/1/2017 3:49:00 PM","Argyle Square",0,-37.8023,144.9664,"4_1_1",10,"Thu",15
"21",21,"11/2/2017 9:09:00 AM","Argyle Square",0,-37.8023,144.9664,"1_1_1",10,"Sun",9
"22",22,"11/2/2017 9:09:00 AM","Argyle Square",0,-37.8023,144.9664,"2_1_1",10,"Sun",9
"23",23,"11/2/2017 9:09:00 AM","Argyle Square",0,-37.8023,144.9664,"3_1_1",10,"Sun",9
"24",24,"11/2/2017 9:09:00 AM","Argyle Square",0,-37.8023,144.9664,"4_1_1",10,"Sun",9
"25",25,"11/2/2017 9:14:00 AM","Argyle Square",0,-37.8023,144.9664,"1_1_1",10,"Sun",9
"26",26,"11/2/2017 9:14:00 AM","Argyle Square",0,-37.8023,144.9664,"2_1_1",10,"Sun",9
"27",27,"11/2/2017 9:14:00 AM","Argyle Square",0,-37.8023,144.9664,"3_1_1",10,"Sun",9
"28",28,"11/2/2017 9:14:00 AM","Argyle Square",0,-37.8023,144.9664,"4_1_1",10,"Sun",9
"29",29,"11/2/2017 9:55:00 AM","Argyle Square",0,-37.8023,144.9664,"1_1_1",10,"Sun",9
"30",30,"11/2/2017 9:55:00 AM","Argyle Square",0,-37.8023,144.9664,"2_1_1",10,"Sun",9
