RecordId , DateTime , Site , ButterflyCount , Lat , Lon , WalkStage
1, 11/1/2017 1:42:00 PM, Argyle Square, 0, -37.8023, 144.9664,"1_1_1"
2, 11/1/2017 1:42:00 PM, Argyle Square, 0, -37.8023, 144.9664,"2_1_1"
3, 11/1/2017 1:42:00 PM, Argyle Square, 0, -37.8023, 144.9664,"3_1_1"
4, 11/1/2017 1:42:00 PM, Argyle Square, 0, -37.8023, 144.9664,"4_1_1"
5, 11/1/2017 2:28:00 PM, Argyle Square, 0, -37.8023, 144.9665,"1_1_1"
6, 11/1/2017 2:28:00 PM, Argyle Square, 0, -37.8023, 144.9665,"2_1_1"
7, 11/1/2017 2:28:00 PM, Argyle Square, 0, -37.8023, 144.9665,"3_1_1"
8, 11/1/2017 2:28:00 PM, Argyle Square, 0, -37.8023, 144.9665,"4_1_1"
9, 11/1/2017 3:22:00 PM, Argyle Square, 0, -37.8022, 144.9664,"1_1_1"
10, 11/1/2017 3:22:00 PM, Argyle Square, 1, -37.8022, 144.9664,"2_1_1"
11, 11/1/2017 3:22:00 PM, Argyle Square, 1, -37.8022, 144.9664,"3_1_1"
12, 11/1/2017 3:22:00 PM, Argyle Square, 0, -37.8022, 144.9664,"4_1_1"
13, 11/1/2017 3:34:00 PM, Argyle Square, 0, -37.8023, 144.9665,"1_1_1"
14, 11/1/2017 3:34:00 PM, Argyle Square, 0, -37.8023, 144.9665,"2_1_1"
15, 11/1/2017 3:34:00 PM, Argyle Square, 0, -37.8023, 144.9665,"3_1_1"
16, 11/1/2017 3:34:00 PM, Argyle Square, 0, -37.8023, 144.9665,"4_1_1"
17, 11/1/2017 3:49:00 PM, Argyle Square, 0, -37.8023, 144.9664,"1_1_1"
18, 11/1/2017 3:49:00 PM, Argyle Square, 0, -37.8023, 144.9664,"2_1_1"
19, 11/1/2017 3:49:00 PM, Argyle Square, 0, -37.8023, 144.9664,"3_1_1"
20, 11/1/2017 3:49:00 PM, Argyle Square, 0, -37.8023, 144.9664,"4_1_1"
21, 11/2/2017 9:09:00 AM, Argyle Square, 0, -37.8023, 144.9664,"1_1_1"
22, 11/2/2017 9:09:00 AM, Argyle Square, 0, -37.8023, 144.9664,"2_1_1"
23, 11/2/2017 9:09:00 AM, Argyle Square, 0, -37.8023, 144.9664,"3_1_1"
24, 11/2/2017 9:09:00 AM, Argyle Square, 0, -37.8023, 144.9664,"4_1_1"
25, 11/2/2017 9:14:00 AM, Argyle Square, 0, -37.8023, 144.9664,"1_1_1"
26, 11/2/2017 9:14:00 AM, Argyle Square, 0, -37.8023, 144.9664,"2_1_1"
27, 11/2/2017 9:14:00 AM, Argyle Square, 0, -37.8023, 144.9664,"3_1_1"
28, 11/2/2017 9:14:00 AM, Argyle Square, 0, -37.8023, 144.9664,"4_1_1"
29, 11/2/2017 9:55:00 AM, Argyle Square, 0, -37.8023, 144.9664,"1_1_1"
30, 11/2/2017 9:55:00 AM, Argyle Square, 0, -37.8023, 144.9664,"2_1_1"
31, 11/2/2017 9:55:00 AM, Argyle Square, 0, -37.8023, 144.9664,"3_1_1"
32, 11/2/2017 9:55:00 AM, Argyle Square, 0, -37.8023, 144.9664,"4_1_1"
33, 11/2/2017 9:59:00 AM, Argyle Square, 0, -37.8023, 144.9664,"1_1_1"
34, 11/2/2017 9:59:00 AM, Argyle Square, 0, -37.8023, 144.9664,"2_1_1"
35, 11/2/2017 9:59:00 AM, Argyle Square, 0, -37.8023, 144.9664,"3_1_1"
36, 11/2/2017 9:59:00 AM, Argyle Square, 0, -37.8023, 144.9664,"4_1_1"
37, 11/2/2017 10:15:00 AM, Argyle Square, 0, -37.8023, 144.9664,"1_1_1"
38, 11/2/2017 10:15:00 AM, Argyle Square, 0, -37.8023, 144.9664,"2_1_1"
39, 11/2/2017 10:15:00 AM, Argyle Square, 0, -37.8023, 144.9664,"3_1_1"
40, 11/2/2017 10:15:00 AM, Argyle Square, 0, -37.8023, 144.9664,"4_1_1"
41, 11/2/2017 10:30:00 AM, Argyle Square, 0, -37.8023, 144.9665,"1_1_1"
42, 11/2/2017 10:30:00 AM, Argyle Square, 0, -37.8023, 144.9665,"2_1_1"
43, 11/2/2017 10:30:00 AM, Argyle Square, 0, -37.8023, 144.9665,"3_1_1"
44, 11/2/2017 10:30:00 AM, Argyle Square, 0, -37.8023, 144.9665,"4_1_1"
45, 11/2/2017 10:44:00 AM, Argyle Square, 0, -37.8022, 144.9663,"1_1_1"
46, 11/2/2017 10:44:00 AM, Argyle Square, 0, -37.8022, 144.9663,"2_1_1"
47, 11/2/2017 10:44:00 AM, Argyle Square, 0, -37.8022, 144.9663,"3_1_1"
48, 11/2/2017 10:44:00 AM, Argyle Square, 0, -37.8022, 144.9663,"4_1_1"
49, 11/2/2017 12:20:00 PM, Argyle Square, 0, -37.8026, 144.9664,"1_1_1"
50, 11/2/2017 12:20:00 PM, Argyle Square, 0, -37.8026, 144.9664,"2_1_1"
51, 11/2/2017 12:20:00 PM, Argyle Square, 0, -37.8026, 144.9664,"3_1_1"
52, 11/2/2017 12:20:00 PM, Argyle Square, 0, -37.8026, 144.9664,"4_1_1"
53, 12/1/2017 4:34:00 PM, Argyle Square, 0, -37.8022, 144.9665,"1_1_1"
54, 12/1/2017 4:34:00 PM, Argyle Square, 0, -37.8022, 144.9665,"2_1_1"
55, 12/1/2017 4:34:00 PM, Argyle Square, 0, -37.8022, 144.9665,"3_1_1"
56, 12/1/2017 4:34:00 PM, Argyle Square, 0, -37.8022, 144.9665,"4_1_1"
57, 12/1/2017 4:53:00 PM, Argyle Square, 0, -37.8021, 144.9663,"1_1_1"
58, 12/1/2017 4:53:00 PM, Argyle Square, 0, -37.8021, 144.9663,"2_1_1"
59, 12/1/2017 4:53:00 PM, Argyle Square, 0, -37.8021, 144.9663,"3_1_1"
60, 12/1/2017 4:53:00 PM, Argyle Square, 0, -37.8021, 144.9663,"4_1_1"
61, 11/2/2017 10:57:00 AM, Argyle Square, 0, -37.8024, 144.9663,"1_1_2"
62, 11/2/2017 10:57:00 AM, Argyle Square, 0, -37.8024, 144.9663,"2_1_2"
63, 11/2/2017 10:57:00 AM, Argyle Square, 0, -37.8024, 144.9663,"3_1_2"
64, 11/2/2017 10:57:00 AM, Argyle Square, 0, -37.8024, 144.9663,"4_1_2"
65, 11/2/2017 11:01:00 AM, Argyle Square, 0, -37.8024, 144.9663,"1_1_2"
