"","Site","Hour","Count of butterfly"
"1","Argyle Square","10",0
"2","Argyle Square","11",1
"3","Argyle Square","12",9
"4","Argyle Square","13",1
"5","Argyle Square","14",4
"6","Argyle Square","15",2
"7","Argyle Square","16",0
"8","Argyle Square","17",0
"9","Argyle Square","9",0
"10","Carlton Gardens South","10",2
"11","Carlton Gardens South","11",7
"12","Carlton Gardens South","12",4
"13","Carlton Gardens South","13",1
"14","Carlton Gardens South","14",5
"15","Carlton Gardens South","15",10
"16","Carlton Gardens South","16",3
"17","Carlton Gardens South","17",2
"18","Carlton Gardens South","18",0
"19","Carlton Gardens South","8",0
"20","Carlton Gardens South","9",3
"21","Fitzroy-Treasury Gardens","10",2
"22","Fitzroy-Treasury Gardens","11",4
"23","Fitzroy-Treasury Gardens","12",7
"24","Fitzroy-Treasury Gardens","13",5
"25","Fitzroy-Treasury Gardens","14",4
"26","Fitzroy-Treasury Gardens","15",1
"27","Fitzroy-Treasury Gardens","16",12
"28","Fitzroy-Treasury Gardens","17",0
"29","Fitzroy-Treasury Gardens","18",0
"30","Fitzroy-Treasury Gardens","22",1
"31","Fitzroy-Treasury Gardens","9",0
"32","Fitzroy/Treasury Gardens","13",0
"33","Fitzroy/Treasury Gardens","14",0
"34","Fitzroy/Treasury Gardens","17",0
"35","Fitzroy/Treasury Gardens","18",0
"36","Lincoln Square","12",0
"37","Lincoln Square","14",0
"38","Lincoln Square","15",1
"39","Lincoln Square","16",2
"40","Lincoln Square","17",10
"41","Lincoln Square","18",1
"42","Lincoln Square","19",3
"43","Princes Park","10",5
"44","Princes Park","11",2
"45","Princes Park","12",3
"46","Princes Park","13",6
"47","Princes Park","14",4
"48","Princes Park","15",2
"49","Princes Park","16",0
"50","Princes Park","9",1
"51","Royal Park","0",0
"52","Royal Park","1",0
"53","Royal Park","10",0
"54","Royal Park","11",9
"55","Royal Park","12",9
"56","Royal Park","13",9
"57","Royal Park","14",13
"58","Royal Park","15",7
"59","Royal Park","16",9
"60","Royal Park","17",2
"61","Royal Park","18",2
"62","Royal Park","3",0
"63","Royal Park","4",0
"64","Royal Park","9",0
"65","Westgate Park","10",0
"66","Westgate Park","11",6
"67","Westgate Park","12",4
"68","Westgate Park","13",0
"69","Westgate Park","14",5
"70","Westgate Park","15",2
"71","Westgate Park","16",4
"72","Westgate Park","17",6
"73","Westgate Park","18",0
"74","Westgate Park","2",0
"75","Westgate Park","9",0
"76","Womens Peace Gardens","10",5
"77","Womens Peace Gardens","11",7
"78","Womens Peace Gardens","12",11
"79","Womens Peace Gardens","13",2
"80","Womens Peace Gardens","14",15
"81","Womens Peace Gardens","15",10
"82","Womens Peace Gardens","16",10
"83","Womens Peace Gardens","17",0
