"","Site","Weekday","Count of butterfly"
"1","Argyle Square","Tue",8
"2","Argyle Square","Thu",2
"3","Argyle Square","Fri",0
"4","Argyle Square","Sun",7
"5","Carlton Gardens South","Mon",9
"6","Carlton Gardens South","Tue",2
"7","Carlton Gardens South","Wed",6
"8","Carlton Gardens South","Sun",20
"9","Fitzroy-Treasury Gardens","Mon",0
"10","Fitzroy-Treasury Gardens","Tue",0
"11","Fitzroy-Treasury Gardens","Wed",0
"12","Fitzroy-Treasury Gardens","Thu",6
"13","Fitzroy-Treasury Gardens","Fri",23
"14","Fitzroy-Treasury Gardens","Sun",7
"15","Fitzroy/Treasury Gardens","Thu",0
"16","Fitzroy/Treasury Gardens","Fri",0
"17","Lincoln Square","Wed",17
"18","Lincoln Square","Fri",0
"19","Princes Park","Wed",7
"20","Princes Park","Thu",2
"21","Princes Park","Sat",13
"22","Princes Park","Sun",1
"23","Royal Park","Mon",18
"24","Royal Park","Tue",1
"25","Royal Park","Wed",9
"26","Royal Park","Thu",4
"27","Royal Park","Fri",2
"28","Royal Park","Sat",14
"29","Royal Park","Sun",12
"30","Westgate Park","Mon",8
"31","Westgate Park","Tue",14
"32","Westgate Park","Wed",4
"33","Westgate Park","Thu",1
"34","Westgate Park","Fri",0
"35","Westgate Park","Sun",0
"36","Womens Peace Gardens","Thu",0
"37","Womens Peace Gardens","Fri",30
"38","Womens Peace Gardens","Sat",30
