Rating,Avg.Salary.K.
1.9,87.5
1.9,87.5
1.9,87.5
2.1,72.5
2.1,72.5
2.1,111.5
2.1,111.5
2.1,111.5
2.2,85.5
2.2,110
2.3,62
2.3,101
2.4,52.5
2.4,52.5
2.4,52.5
2.4,52.5
2.4,70.5
2.4,70.5
2.4,70.5
2.5,96.5
2.5,143.5
2.6,73.5
2.6,73.5
2.6,73.5
2.6,107.5
2.6,120
2.6,120
2.6,121
2.6,124
2.6,124
2.6,124
2.6,124
2.6,124
2.7,27.5
2.7,27.5
2.7,76
2.7,80.5
2.7,81
2.7,81
2.7,81
2.7,81
2.7,81
2.7,81
2.7,103
2.7,120
2.7,120
2.7,153
2.8,47.5
2.8,76.5
2.8,77.5
2.8,77.5
2.8,83
2.8,107.5
2.8,118
2.9,61.5
2.9,61.5
2.9,61.5
2.9,70
2.9,70
2.9,70
2.9,73
2.9,73
2.9,73
2.9,80
2.9,80
2.9,80
2.9,81.5
2.9,91.5
2.9,91.5
2.9,114
2.9,114
2.9,114.5
3,37.5
3,37.5
3,62.5
3,62.5
3,62.5
3,66.5
3,66.5
3,87.5
3,94.5
3,98
3,98
3,98
3,98
3,100
3,119.5
3,133
3,133
3.1,29.5
3.1,47
3.1,56.5
3.1,56.5
3.1,59.5
3.1,62.5
3.1,62.5
3.1,74
3.1,74
3.1,80.5
3.1,80.5
3.1,92.5
3.1,98
3.1,99.5
3.1,99.5
3.1,99.5
3.1,103.5
3.1,103.5
3.1,103.5
3.1,103.5
3.1,113
3.1,113
3.1,117.5
3.1,117.5
3.1,117.5
3.2,51.5
3.2,51.5
3.2,64.5
3.2,64.5
3.2,69.5
3.2,69.5
3.2,74
3.2,77.5
3.2,77.5
3.2,77.5
3.2,81.5
3.2,83
3.2,85
3.2,91.5
3.2,97.5
3.2,101
3.2,105.5
3.2,106.5
3.2,109
3.2,109
3.2,124.5
3.2,124.5
3.2,125
3.2,125
3.2,127.5
3.2,127.5
3.2,128.5
3.2,128.5
3.2,132.5
3.2,134
3.2,139
3.2,139
3.2,155
3.2,194
